title,position,requirements
Data-analyst / Аналитик данных,junior,"Анализ данных, Big Data, LightGBM, Регрессионный анализ, Jupyter Notebook, SQL, Power BI, Основы баз данных, Apache Airflow, Python, Классическое машинное обучение, Clickhouse, Bash, pandas, Numpy, Matplotlib, PySpark"
Аналитик бизнес-процессов,middle,"Бизнес-анализ, Стратегическое планирование, Оптимизация бизнес-процессов, Описание бизнес-процессов, Анализ бизнес-процессов, Автоматизация бизнес-процессов, BPMN, Имеет опыт описания и оптимизации бизнес-процессов (в проектной/инжиниринговой компании - преимущество). Владеет BPMN 2.0 (Camunda Modeler, Bizagi и др.). Умеет структурировать информацию и создавать понятные инструкции. Знаком с проектной деятельностью (ПД, РД, экспертиза, авторский надзор). Будет вести инициативу по улучшению процессов и интерфейсов взаимодействия команды. Приветствуется знание Revit, понимание BIM-процессов, опыт работы в проектной компании."
Аналитик данных отдела маркетинга,junior,"Аналитические исследования, Работа с большим объемом информации, MS Excel, MS SQL, MySQL, Power BI, Аналитика, Аналитический склад ума и системное мышление, умение работать с данными (в том числе находить аномалии и отклонения данных) и делать на их основе выводы; Опыт работы с большими массивами данных; Отличное владение Excel: сложные функции, сводные таблицы, макросы; Опыт работы с CX-метриками (NPS, CSI) и количественными и качественными методами исследований клиентского опыта; Опыт подготовки презентационных материалов в Power Point; Знание Power BI (DAX) и SQL (диалект MySQL или иной); Знание Python - является преимуществом; Опыт работы в сфере аналитики от 1 года."
"Data Engineer / Data scientist (NLP, LLM)",middle,"Python, Machine Learning, Анализ данных, Git, NLP"
Senior Data analyst,senior,"SQL, Бизнес-анализ, ETL, Power BI, MS Excel, CRM"
Аналитик данных,junior,"SQL, pandas, Plotly, Jupiter, Jupyter Notebook, Высшее образование; Опыт анализа данных и формирования аналитических отчетов и дашбордов; Опыт работы с SQL обязателен; Знание Python (Pandas, Plotly, python-docx, python-docx-template, python-pptx). Знание интерфейса и функционала jupiter notebook и jupyterlab; Опыт работы с BI системами, формирующих отчеты на JS будет преимуществом; Понимание организации отрасли здравоохранения (организация медицинской помощи, системы ОМС и т.д.) будет преимуществом."
Дата-аналитик (Архитектор баз данных),junior,"Глубокий опыт в анализе и реорганизации таблиц БД (включая партиционирование), Навыки проектирования и оптимизации схем хранения данных., Опыт в разработке архитектуры DWH, нормализации и денормализации данных., Понимание принципов Data Vault / Star / Snowflake моделей., Приветствуется опыт построения OLAP-кубов и настройки отчётности, Power BI, 1С программирование, SQL"
Аналитик данных/программист,intern,"ООП, SQL, MySQL, PHP, Java, высшее/неполное высшее образование; знание языков/стандартов , SQL; знания и опыт работы хотя бы с одной из СУБД PostgreSQL, Oracle, MSSQL, Firebird (Interbase), MySQL; приветствуется знания одного из языков программирования, Условия:, Официальное трудоустройство по ТК РФ; Официальная стабильная заработная плата; Квартальные премии по итогам работы; График работы 5/2 с 8:00 до 17:00 (перерыв для отдыха и питания с 12:00 до 13:00); Ежегодный оплачиваемый отпуск от 31 календарного дня; Работа в центре города; Карьерный рост."
Аналитик данных,middle,"Анализ данных, SQL, PostgreSQL, Clickhouse, DataLens, Grafana, Продуктовые метрики, Бизнес метрики, A/B тесты, Когортный анализ, Анализ поведения пользователей, Python, pandas, Jupyter Notebook, Apache Airflow, Ad-hoc тестирование"
Аналитик данных,middle,"Анализ данных, SQL, PostgreSQL, Clickhouse, DataLens, Grafana, Продуктовые метрики, Бизнес метрики, A/B тесты, Когортный анализ, Анализ поведения пользователей, Python, pandas, Jupyter Notebook, Apache Airflow, Ad-hoc тестирование"
